iter	Passed	Remaining
951	3187	160
952	3190	157
953	3192	153
954	3193	150
955	3194	147
956	3196	143
957	3199	140
958	3200	136
959	3202	133
960	3205	130
961	3209	126
962	3213	123
963	3216	120
964	3217	116
965	3218	113
966	3220	109
967	3224	106
968	3227	103
969	3231	99
970	3232	96
971	3233	93
972	3234	89
973	3238	86
974	3242	83
975	3245	79
976	3247	76
977	3248	73
978	3249	69
979	3252	66
980	3255	63
981	3260	59
982	3262	56
983	3263	53
984	3264	49
985	3267	46
986	3268	43
987	3271	39
988	3273	36
989	3276	33
990	3277	29
991	3279	26
992	3282	23
993	3285	19
994	3288	16
995	3292	13
996	3293	9
997	3295	6
998	3297	3
999	3299	0
